Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Grey Warbler,Gerygone igata,oceania,white,Play another bird in your [forest]. Pay its normal cost with a 1 [egg] discount.,Grey warblers build a pear-shaped nest with a side entrance near the top.,,,,1,wild,3,16,X,,,1,1,,1,,,,/,,1,,,,,,,X,,,,X,X,,,X,,X,,,,X,,X,,X,X,,,X,,X
Grey-Headed Mannikin,Lonchura caniceps,oceania,yellow,"Play a bird. Pay its normal food cost, but ignore 1 [egg] in its egg cost. If it has a ""when played"" or ""game end"" power, you may use it.",These birds use grass to build ball-shaped nests high in trees.,,,,2,wild,3,15,,X,,,1,,,,,,,,1,,,,,,,X,X,,,X,X,,,X,,X,,,,,,X,,X,X,X,,,,X
Greylag Goose,Anser anser,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","The greylag goose was once linked to divine figures such as Ra, Aphrodite, and Ishtar.",,,,7,ground,2,164,,,X,,3,,,,,,,,3,,,,X,X,,,,,,X,,,,X,X,X,,,,,X,,,,,,,,X,
Griffon Vulture,Gyps fulvus,european,teal,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,These birds' bald heads help them thermoregulate.,,,,1,platform,1,252,,X,,,,,,,,,,,0,,,,X,X,X,,,,,,X,,,,,,,,,,X,,,,X,X,,,,
Hawfinch,Coccothraustes coccothraustes,european,brown,"Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting.",These birds can be difficult to see because they favor high branches.,,,,4,bowl,2,30,X,,,,2,,,,,,,,2,,,,X,X,,,,,,,,,,X,,,,,,X,,,,X,,,,,,X
Hermit Thrush,Catharus guttatus,core,brown,Player(s) with the fewest birds in their [forest] gain 1 [die] from birdfeeder.,Hermit thrushes tend to nest on the ground in the western US and in trees in the East.,,,,7,wild,2,30,X,,,1,,,2,,,,,,3,X,X,,,,,,,,,,,,,,X,X,,,,X,,X,,X,X,,,X,,X
Hooded Crow,Corvus cornix,european,teal,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",The hooded crow is associated with fairies in Celtic folklore.,,X,,3,platform,2,99,,X,X,1,,,,,,2,,,3,,,,X,X,,,,,,,X,X,X,,X,,,,,,X,,X,,X,,,,,
Hooded Merganser,Lophodytes cucullatus,core,brown,Repeat 1 [predator] power in this habitat.,Merganser chicks jump from their cavity nest to the ground when they're just 1 day old.,,,,5,cavity,4,61,,,X,1,,1,,,,,,,2,X,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,X,
Hooded Warbler,Setophaga citrina,core,,,This bird spends its time in the understory and nests within a meter of the ground.,,,,7,bowl,3,18,X,,,2,,,,,,,,,2,X,X,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,,X
Horned Lark,Eremophila alpestris,core,pink,"When another player plays a bird in their [grassland], tuck 1 [card] from your hand behind this bird.","Horned larks form large nomadic flocks, mixing with birds of other species.",,X,,5,ground,4,30,,X,,1,1,,,,,,,,2,X,X,,X,X,,,,,,,,,X,X,,X,,,,,,,,X,,X,,,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,oceania,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a wingspan less than 30cm.","This cuckoo mainly lays eggs in fairywren nests, but it will also parasitize other small birds.",,,,2,,0,29,X,X,X,1,,,,,,,,,1,,,,,X,,X,,,X,X,X,X,,,,,,,X,,,,,X,,,,,,
Horsfield's Bushlark,Mirafra javanica,oceania,brown,"Discard 1 [seed]. If you do, lay up to 2 [egg] on this bird.","There are 90 species of larks in the world, but this is the only one native to Australia.",,,,2,ground,2,22,,X,,1,1,,,,,,,,2,,,,,,,X,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,
House Finch,Haemorhous mexicanus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",These finches are rarely alone and can flock in the hundreds.,,X,,3,bowl,6,25,X,X,X,,1,,1,,,,,,2,X,X,,,,,,,,,,X,X,X,X,,,,,,,,,,X,,,,X,,X
House Sparrow,Passer domesticus,european,teal,"Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird.",This bird diverged genetically around the time agriculture developed.,,X,,6,cavity,5,22,,X,,,1,,1,,,,,,2,,,,X,X,,,,,,,,,X,X,,,,,,,,X,,X,,X,,X,,
House Wren,Troglodytes aedon,core,white,Play an additional bird in this bird's habitat. Pay its normal cost.,House wrens will remove the eggs of other birds and take over their nests.,,,,1,cavity,5,15,X,X,,1,,,,,,,,,1,X,X,X,,,,,,,,,X,X,,,,,,,X,,,X,,X,,,,,,
Inca Dove,Columbina inca,core,white,Lay 1 [egg] on each of your birds with a [platform] nest.,This bird likes human settlements and is expanding its range north.,,,,2,platform,4,28,,X,,,2,,,,,,,,2,X,X,,,,,,,X,,,X,,,X,,,,,,,,,,X,X,X,,,,
Indian Peafowl,Pavo cristatus,asia,white,All players draw 2 [card] from the deck. You draw 1 additional [card].,This bird was designated the national bird of India in 1963.,,,,7,ground,3,145,X,X,X,1,1,,,,,1,,,3,,,,,X,,X,,X,,,,X,,X,X,X,,,,,X,,X,,,,,,,
Indigo Bunting ,Passerina cyanea,core,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if available.",Indigo buntings are almost always found on forest edges.,,,,5,bowl,3,20,X,X,,1,1,,1,,,,,,3,X,X,,,,,,,,,X,,X,,X,X,,,,,,,,,X,,,,X,,X
Juniper Titmouse ,Baeolophus ridgwayi,core,brown,Cache 1 [seed] from the supply on this bird.,These little birds make it through winter by storing seeds.,,,,4,cavity,3,23,X,,,1,1,,,,,,,,2,X,,,,,,,,,,,,,,X,,,,,,X,,X,,X,,,,,,
Kākāpо̄,Strigops habroptila,oceania,yellow,"Draw 4 bonus cards, keep 1, and discard the other 3.","This flightless, nocturnal parrot is endangered; it only reproduces every 3 years or so.",,,X,4,ground,2,*,X,,,,1,,1,,,,,,2,,,,,,,X,,,,,,,,X,,X,,,,X,X,,,X,,,,X,,
Kea,Nestor notabilis,oceania,white,Draw 1 bonus card. You may discard any number of [wild] to draw that many additional bonus cards. Keep 1 of the cards you drew and discard the rest.,These endangered parrots have been observed making and using tools.,,,X,5,ground,2,90,X,X,,,,,1,,1,,,,2,,,,,,,X,,,,,,X,,,,X,,,,,X,,,,,,,X,,
Kelp Gull,Larus dominicanus,oceania,brown,Discard any number of [wild] to draw that many [card].,"This southern gull’s Latin name refers to Dominican monks, who wear black and white robes.",,,,6,ground,2,135,,,X,,,1,,,,1,,,2,,,X,,,X,X,,,,,,,,,,X,,X,,,X,,X,,,,,,X,
Kererū,Hemiphaga novaeseelandiae,oceania,brown,"If the player to your left has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.",This large fruit-eating pigeon also eats flowers and leaves.,,,,3,platform,2,75,X,,,,,,1,,1,,,,2,,,,,,,X,,,,,X,,,,,,,,,X,X,,,,X,,,X,,
Killdeer,Charadrius vociferus,core,brown,Discard 1 [egg] to draw 2 [card].,Killdeers will fake a broken wing to lure predators from their nests.,,,,1,ground,3,46,,X,X,1,1,,,,,,/,,1,X,X,X,,,,,,,,,X,X,,X,,X,,,,,,,,,,,,,,
King Rail,Rallus elegans,core,white,Draw 2 new bonus cards and keep 1.,"King rails declined 90% from 1966 to 2015, due to habitat loss and pesticide runoff.",,,X,4,platform,6,51,,,X,1,,1,,,,1,,,3,X,X,,,,,,,,,,,,,,X,,,X,,,,,X,,X,,,,X,
Korimako,Anthornis melanura,oceania,brown,Discard any number of [rodent] to gain that many [nectar] from the supply.,"Also known as bellbirds, these are one of many species that benefit from control of invasive rats.",,,,4,bowl,3,22,X,,,1,,,1,,1,,,,3,,,,,,,X,,,,,,,,,X,,,,,X,,,,X,,,,X,,X
Laughing Kookaburra,Dacelo novaeguineae,oceania,brown,"Reset the birdfeeder. If you do, gain 1 [invertebrate], [fish], or [rodent], if there is one.","The name for this large kingfisher comes from ""guuguubarra"" in Wiradjuri, an Aboriginal language.",X,,,1,cavity,3,60,X,X,X,1,,1,,1,,,/,,1,,,,,,,X,,,,,X,X,,,,,X,X,,,,X,,,,,X,,,
Lazuli Bunting ,Passerina amoena,core,brown,All players lay 1 [egg] on any 1 [bowl] bird. You may lay 1 [egg] on 1 additional [bowl] bird.,"The Latin name amoena means ""beautiful"" or ""charming"".",,,,4,bowl,4,23,,X,,1,1,,1,,,,,,3,X,X,,,,,,,,,X,,,,X,X,,,,,,,,,X,,X,,X,,X
Lesser Frigatebird,Fregata ariel,oceania,brown,All players may discard 1 [egg] from a [wetland] bird. Each player that discards an [egg] gains 1 [wild] from the supply.,"Frigatebirds love to eat fish and squid, but they also eat seabird eggs.",,,,9,platform,1,175,,,X,1,,2,,,,,,,3,,,,,X,X,X,,,,,,,,,X,,,X,,,X,,,,X,,,,X,
Lesser Whitethroat,Sylvia curruca,european,teal,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,"The genus name Sylvia means ""woodland sprite.""",,,,0,bowl,2,18,X,X,,1,,,1,,,,,,2,,,,X,X,X,,X,,,X,X,X,,,,,,,,,,,,X,,,,X,,X
Lewin's Honeyeater,Meliphaga lewinii,oceania,brown,Choose 1 other player. You both gain 1 [nectar] from the supply.,Artist John Lewin came to New South Wales in 1800 to record the birds and insects there.,,,,5,bowl,2,29,X,,,,,,1,,1,,,,2,,,,,,,X,,,X,,,,,,,,,,,X,,,,X,,,,X,,X
Lincoln's Sparrow,Melospiza lincolnii,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",Thomas Lincoln collected this sparrow in Canada with John James Audubon.,,,,3,ground,2,20,X,X,X,1,1,,,,,,,,2,X,X,,,,,,,,X,,X,X,,X,,X,,,,,,,,X,,,,,,
Little Bustard,Tetrax tetrax,european,white,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,Males have extensive mating displays involving foot stamping and aerial leaps.,,,X,4,ground,2,110,,X,,1,1,,,,,,,,2,,,,X,X,,,,,,,,,,X,,X,,,,,X,,,,,X,,,,
Little Owl,Athene noctua,european,brown,Steal 1 [rodent] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,"This owl accompanied Athena, goddess of wisdom.",,,,4,cavity,2,56,X,X,,1,,,,1,,,,,2,,,,X,X,X,,,,,,,X,,,,,,,,,,X,,,,,X,,,
Little Penguin,Eudyptula minor,oceania,brown,"Draw and discard 5 [card] from the deck. For each [fish] in their food costs, cache 1 [fish] from the supply on this bird.","These penguins dive to catch fish, sometimes as deep as 50 meters.",X,,,7,wild,2,*,,,X,,,3,,,,,,,3,,,,,,,X,,,,,,,,,X,X,X,X,,,X,X,,X,X,,,,X,X
Little Pied Cormorant,Microcarbo melanoleucos,oceania,yellow,"Lay 1 [egg] on each of your birds with a [platform] nest, including this one.","This common diving bird is also called the little shag, or its Māori name, kawaupaka.",,,,4,platform,2,88,,,X,1,,1,,,,,,,2,,,,,X,,X,,,,,,,,,,,,X,,,X,,,,X,,,,X,
Loggerhead Shrike,Lanius ludovicianus,core,pink,"When another player takes the ""gain food"" action, if they gain any number of [rodent], cache 1 [rodent] from the supply on this bird.",Shrikes impale their prey on thorse or barbed wire and may save them for later.,,,,3,bowl,4,30,,X,X,1,,,,1,,,,,2,X,,,,,,,X,,,,X,X,,,,,,,,,,,,X,,,X,,,X
Long-Tailed Tit,Aegithalos caudatus,european,white,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.","Long-tailed tit nests are an elaborate ball made from lichen, moss, and spiderwebs.",,,,0,wild,4,18,X,,,1,1,,,,,,,,2,,,,X,X,,,X,,,,X,,,X,,X,,,,X,,X,,X,X,,,,,X
Magpie-Lark,Grallina cyanoleuca,oceania,yellow,"Discard 2 [egg] from your [forest]. If you do, play 1 bird in your [grassland] at its normal food cost (ignore its egg cost). If it has a ""when played"" or ""game end"" power, you may use it.",Expanding agriculture has helped the magpie-lark even as it has harmed forest-dwelling animals.,,,,5,bowl,3,57,,X,,1,1,,,,,,/,,1,,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,,,X
Major Mitchell's Cockatoo,Lophochroa leadbeateri,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [seed] from the supply.","These cockatoos can form large nomadic flocks, but often forage in small groups.",,X,,6,cavity,2,81,X,X,,,2,,,,,,,,2,,,,,,,X,,,X,,,X,X,X,,,,,,,X,X,,,,,,,,
Mallard,Anas platyrhynchos,core,brown,Draw 1 [card].,Mallards are among the most abundant ducks in the world.,,,,0,ground,4,89,,,X,1,1,,,,,,/,,1,X,X,,X,X,X,,,,,,X,,,X,,X,,,,,X,,,,,,,,X,
Malleefowl,Leipoa ocellata,oceania,yellow,"Lay 1 [egg] on each of your birds with a [ground] nest, including this one.","A malleefowl mound nest holds the record for largest ground nest, weighing 299 metric tons.",,,,2,ground,6,86,X,X,,,1,,,,,1,,,2,,,,,,,X,,X,,,X,X,,X,,X,,,,,X,,X,,,,,,,
Maned Duck,Chenonetta jubata,oceania,brown,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], gain 1 [seed] from the supply.","In autumn, flocks of maned ducks may spend over half the day eating to build up their fat reserves.",,X,,2,cavity,4,79,,,X,,,,,,,2,,,2,,,,,,,X,,,,,X,,X,,,,,,,,X,X,X,,,,,,X,
Many-Colored Fruit-Dove,Ptilinopus perousii,oceania,brown,All players gain 1 [fruit] from the supply. You gain 1 additional [fruit] from the supply.,This dove depends on two species of fig trees for most of its diet.,,,,2,platform,2,30,X,,,,,,1,,,,,,1,,,,,,,X,,,,,X,,,,,,,,,X,,,,X,X,,,X,,
Masked Lapwing,Vanellus miles,oceania,white,"Reset the birdfeeder, then, for each type of food in the birdfeeder, gain 1 of that type.",These birds defend their nests with loud calls and swooping attacks using the spurs on their wings.,,,,1,ground,3,80,,X,X,1,1,,,,,,/,,1,,,,,X,,X,X,,,,X,X,,X,,X,,,,,X,,,,,,,,,
Mississippi Kite,Ictinia mississippiensis,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.","These birds mostly eat large insects, but they'll also eat rodents, bats, and birds.",X,,,4,platform,1,79,X,X,,1,,,,1,,,/,,1,X,X,X,,,,,,X,,,,X,,,,,X,,,,X,,,,X,,X,,,
Mistletoebird,Dicaeum hirundinaceum,oceania,brown,"Gain 1 [fruit] from the supply, or discard 1 [fruit] to gain 1 [nectar] from the supply.",Mistletoe fruits make up about 85 percent of this bird’s diet.,,,,3,wild,4,18,X,,,,,,2,,1,,,,3,,,,,X,,X,,,,,X,,,,X,X,,,,X,,X,,X,X,,,X,,X
Moltoni's Warbler,Sylvia subalpina,european,teal,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",Moltoni was a 20th century Italian ornithologist.,,,,3,bowl,2,17,,X,,1,,,1,,,,,,2,,,,X,,X,,,,X,,X,,,,,,,,,,,,,X,,X,,X,,X
Montagu's Harrier,Circus pygargus,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",During breeding season this species will perform aerial dances that are unique to each bird.,X,,,4,ground,2,113,,X,,,,,,2,,,,*,2,,,,X,X,X,,,,X,,,,,,,X,X,,,,X,,,,,X,X,,,
Mountain Bluebird ,Sialia currucoides,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,These birds can be found from prairies up to alpine zones above treeline.,,,,4,cavity,5,36,,X,,1,,,1,,,,,,2,X,X,,,,,,,X,,X,,,,,,,,,,,,X,,,,X,,X,,
Mountain Chickadee ,Poecile gambeli,core,brown,Cache 1 [seed] from the supply on this bird.,Mountain chickadees are generally found in the conifer forests of the American West.,,,,2,cavity,3,23,X,,,1,1,,,,,,/,,1,X,,,,,,,,X,,,X,,,X,,,,,,X,,X,,X,,,,,,
Mourning Dove ,Zenaida macroura,core,brown,Lay 1 [egg] on this bird.,One pair of doves may raise 5 or 6 small broods in a year.,,,,0,platform,5,46,X,X,X,,1,,,,,,,,1,X,X,,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,
Musk Duck,Biziura lobata,oceania,brown,Draw 1 face-up [card] from the tray with a [ground] or [star] nest. You may reset or refill the tray before doing so.,"This duck’s musky odor comes from a gland on its rump, not the hanging lobe of skin under its bill.",,,,2,ground,2,87,,,X,1,1,1,,,,,/,,1,,,,,,,X,,,,,X,,,X,,X,,X,,,X,,,,,,,,X,
Mute Swan,Cygnus olor,european,brown,"Choose 1-3 birds in your [wetland]. Tuck 1 [card] from your hand behind each. If you tuck at least 1 card, draw 1 [card].",The mute swan earned its name because it is less vocal than other species.,,,,4,ground,3,220,,,X,1,1,,,,,1,,,3,,,,X,X,,,,,,,,,,X,X,X,,,,,X,,X,,,,,,X,
New Holland Honeyeater,Phylidonyris novaehollandiae,oceania,brown,"Gain 1 [nectar] from the birdfeeder, if there is one.",Honeyeaters are important pollinators of several plant species.,,,,0,bowl,3,20,,X,,,,,,,1,,,,1,,,,,,,X,,X,,,X,,,,,,,,,,,,,X,,X,,,,X
Noisy Miner,Manorina melanocephala,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, lay up to 2 [egg] on this bird. All other players may lay 1 [egg].","These birds are cooperative breeders, with as many as 22 males attending a nest.",,X,,3,bowl,6,41,X,X,,1,,,,,1,1,,,3,,,,,,,X,,,,,X,X,X,,X,,,,,,,,X,,,,,,,X
North Island Brown Kiwi,Apteryx mantelli,oceania,white,"Discard a bonus card. If you do, draw 4 bonus cards, keep 2, and discard the other 2.",The brown kiwi’s egg grows to take up 20 percent of the mother’s body mass before being laid.,,,X,6,wild,1,*,X,X,,2,1,,,,,,,,3,,,,,,,X,,X,,X,,X,,X,X,X,,,,,X,X,,X,X,,,,,X
Northern Bobwhite,Colinus virginianus,core,brown,Lay 1 [egg] on this bird.,"Bobwhites are prolific breeders, but their numbers are in decline.",,,,5,ground,6,33,,X,,,3,,,,,,,,3,X,X,,,,,,,X,,X,,,,X,X,X,,,,,,,,,,X,,,,
Northern Cardinal ,Cardinalis cardinalis,core,brown,Gain 1 [fruit] from the supply.,"In most North American species, only males sing, but female cardinals break this rule.",,,,3,bowl,5,30,X,,,,1,,1,,,,,,2,X,,,,,,,,X,,,X,,,X,,,,,,X,,,,X,,,,X,,X
Northern Flicker,Colaptes auratus,core,white,Gain all [invertebrate] that are in the birdfeeder.,These woodpeckers seek out ground-dwelling insects rather than pecking wood.,,,,2,cavity,4,51,X,X,,1,1,,1,,,,/,,1,X,,,,,,,,X,,,X,X,,X,,,,,,,,X,,,,,,X,,
Northern Gannet,Morus bassanus,european,brown,"Roll all dice not in birdfeeder. If any are a [fish], gain that many [fish] from the supply and cache them on this bird.","Northern gannets are spectacular divers, piercing water at speeds up to 100 km/h.",X,,,5,ground,1,173,,,X,,,2,,,,,,,2,X,,,X,,X,,,X,,,,,,,,X,X,X,,,X,,,,,,,,X,
Northern Goshawk,Accipiter gentilis,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","In the Middle Ages, only nobles were allowed to use goshawks in falconry.",X,,,5,platform,2,106,X,,,,,,,2,,,,*,2,X,,,X,X,,,,X,,,,,,,,,X,,,X,X,,,,X,,X,,,
Northern Harrier ,Circus hudsonius,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Northern harriers fly low over marshes and grasslands seeking prey.,X,,,3,platform,2,109,,X,X,,,,,1,,,,,1,X,X,,X,X,X,,,X,,,X,X,,,,,X,,,,X,,,,X,,X,,,
Northern Mockingbird ,Mimus polyglottos,core,brown,Repeat a brown power on another bird in this habitat.,A male mockingbird may learn around 200 songs throughout its life.,,,,2,bowl,4,36,X,X,X,1,,,1,,,,,,2,X,X,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,X,,X
Northern Shoveler ,Spatula clypeata,core,brown,All players draw 1 [card] from the deck.,The shoveler's large bill strains invertebrates from the water.,,,,7,ground,4,76,,,X,1,2,,,,,,,,3,X,X,,X,X,X,,,X,,,,,,X,X,X,,,,,X,,,,,,,,X,
Orange-Footed Scrubfowl,Megapodius reinwardt,oceania,yellow,"Lay 1 [egg] on each of your birds with a [ground] nest, including this one.",The mound nests of scrubfowl may be as tall as 4.5 meters.,,,,1,ground,5,43,X,,,,1,,1,,,,/,,1,,,,,X,,X,X,X,,X,X,,,X,,X,,,,X,,,,,,,,X,,
Osprey,Pandion haliaetus,core,brown,All players gain 1 [fish] from the supply.,"Ospreys are excellent hunters, catching a fish in at least 1 out of every 4 dives.",,,,5,platform,2,160,,,X,,,1,,,,,,,1,X,X,X,X,X,X,X,,,,,,,,,,,,X,,,X,,,,X,,,,X,
Pacific Black Duck,Anas superciliosa,oceania,yellow,"For every 2 [egg] in your [wetland], lay 1 [egg] on this bird.",Competition with non-native mallards has severely reduced this species’ numbers in New Zealand.,,,,2,cavity,6,88,,,X,,1,,,,,1,,,2,,,,,X,,X,,X,,X,X,,,X,,,,,,,X,X,X,,,,,,X,
Painted Bunting ,Passerina ciris,core,white,Draw 2 new bonus cards and keep 1.,"Poachers sell these birds as pets, making it harder for wild populations to thrive.",,,X,5,bowl,4,23,,X,,1,2,,,,,,,,3,X,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,X,,,,X
Painted Whitestart,Myioborus pictus,swiftstart,brown,Gain 1 [invertebrate] from the supply.,"When they forage, whitestarts will flick their wings or tails to flush insects.",,,,1,ground,3,22,X,,,1,,,,,,,,,1,X,X,,,,,,,,,X,X,,,,,X,,,X,X,,,,X,,,,,,
Parrot Crossbill,Loxia pytyopsittacus,european,brown,"Remove any 1 [die] from the birdfeeder, then gain 1 [seed] from the supply.",The parrot crossbill is one of only five bird species in the world with a crossed bill.,,,,6,bowl,2,30,X,,,,3,,,,,,,,3,,,,X,X,,,X,,,,,,,X,X,,,,,X,,,,X,,,,,,X
Peaceful Dove,Geopelia placida,oceania,brown,Discard any number of [seed]. Lay 1 [egg] on this bird for each discarded [seed].,"This bird is sometimes called the ""doodle-doo"" because of its distinctive song.",,,,3,platform,4,25,X,X,,,1,,,,,,,,1,,,,,,,X,,,,,X,X,,X,,,,,,,,,,X,X,,,,,
Peregrine Falcon ,Falco peregrinus,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.","Diving to attack, a peregrine falcon can reach speeds up to 320 kilometers per hour.",X,,,5,platform,2,104,,X,X,,,,,2,,,,,2,X,X,X,X,X,X,X,,,,,,X,,,,,X,,,,X,,,,X,,X,,,
Pesquet's Parrot,Psittrichas fulgidus,oceania,brown,"If the player to your right has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.","This bird went viral on the internet as the ""Dracula parrot.""",,,,3,cavity,2,74,X,,,,,,1,,1,,,,2,,,,,,,X,,,X,,X,,,,,,,,,X,X,X,,,,,,X,,
Pheasant Coucal,Centropus phasianinus,oceania,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on this bird.","Unlike most other cuckoos, the pheasant coucal is not a nest parasite.",,,,1,ground,4,74,,X,,1,,,,1,,,,,2,,,,,X,,X,,,,,X,,,,,X,,,,,X,,,,,X,X,,,
Pied-Billed Grebe ,Podilymbus podiceps,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",Pied-billed grebes create a floating platform nest with plant material.,,,,0,platform,4,41,,,X,1,,1,,,,,/,,1,X,X,X,,,,,X,,,,X,,,,,,,X,,,,,,,X,,,,X,
Pileated Woodpecker ,Dryocopus pileatus,core,brown,All players lay 1 [egg] on any 1 [cavity] bird. You may lay 1 [egg] on 1 additional [cavity] bird.,Other birds use these birds' old nests and glean bugs where they've been feeding.\,,,,4,cavity,2,74,X,,,1,,,1,,,,,,2,X,X,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,,
Pine Siskin,Spinus pinus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.","Pine siskins are gregarious, traveling in flocks to look for food.",,X,,3,bowl,2,23,X,,,,2,,,,,,,,2,X,,,,,,,,,,,X,,X,X,,,,,,X,,,,X,,,,,,X
Pink-Eared Duck,Malacorhynchus membranaceus,oceania,brown,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,These ducks sometimes spin around in pairs to concentrate food in a vortex.,,,,4,cavity,3,64,,,X,,1,,,,,1,,,2,,,,,,,X,X,,,X,,,,X,,,,,,,,X,X,,,,,,X,
Plains-Wanderer,Pedionomus torquatus,oceania,white,Draw 1 bonus card for each bird in your [grassland]. Keep 1 and discard the rest.,This critically endangered bird is the only species in the family Pedionomidae.,,,X,4,ground,3,32,,X,,1,1,,,,,,,,2,,,,,,,X,,X,,,,,,X,,X,,,,,,,,,,X,,,,
Princess Stephanie's Astrapia,Astrapia stephaniae,oceania,brown,Choose 1 other player. You both lay 1 [egg].,This bird was named in honor of Princess Stephanie of Belgium in 1884.,,,,6,platform,1,45,X,,,1,,,1,,,,,,2,,,,,,,X,,,X,,,,,,,,,,,X,,,,,X,,,X,,
Prothonotary Warbler,Protonotaria citrea,core,,,The name prothonotary comes from Catholic scribes who wore yellow robes.,,,,8,cavity,4,23,X,,X,2,1,,,,,,,,3,X,X,,,,,,,,,,,X,,X,X,,,,,,,X,,X,,,,,,
Pūkeko,Porphyrio melanotus,oceania,brown,Lay 1 [egg] on an adjacent bird.,"These birds, also known as swamphens, may form social groups that share nests and chick-raising duties.",,,,4,ground,3,78,,,X,,2,,,,,1,,,3,,,,,X,,X,,,,,,,,X,X,X,,,,,X,,X,,,,,,X,
Purple Gallinule ,Porphyrio martinicus,core,brown,All players draw 1 [card] from the deck.,"With its long toes, this bird can walk on lily pads without sinking.",,,,7,platform,4,56,,,X,,1,,1,,,1,,,3,X,X,X,,,,,,,,X,,,,X,X,,,,,,,,X,,X,,,X,X,
Purple Martin,Progne subis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","Native Americans hung gourds as houses for these birds, because they eat so many bugs.",,X,,2,cavity,3,46,,X,X,1,,,,,,,,,1,X,X,X,,,,,,,,X,X,X,X,,,,,,X,,,X,,,,,,,,
Pygmy Nuthatch,Sitta pygmaea,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [invertebrate] or [seed] from the supply.","These flocking birds often have ""helper"" birds bringing food during nesting season.",,X,,2,cavity,4,20,X,,,1,1,,,,,,,,2,X,X,,,,,,,,,,X,,X,X,,,,,,X,,X,,X,,,,,,
Rainbow Lorikeet,Trichoglossus moluccanus,oceania,brown,"Discard 1 [nectar] to the ""spent nectar"" space for your [forest]. If you do, gain 2 [die] from the birdfeeder.","Some wild lorikeets are so accustomed to humans, they can be hand-fed.",,,,1,cavity,2,46,X,,,,,,1,,1,,,,2,,,,,,,X,,,,,X,,,,,,,,,X,,X,,,,,,X,,
Red Crossbill,Loxia curvirostra,core,brown,All players gain 1 [seed] from the supply.,These birds use their specialized bills to pry apart conifer seed cones.,,,,6,bowl,2,28,X,,,,2,,,,,,,,2,X,X,,X,X,X,,X,,,X,,,,X,,,,,,X,,,,X,,,,,,X
